iter	Logloss
0	0.6843834699
1	0.6774968508
2	0.6717351033
3	0.6666921744
4	0.6623821906
5	0.6589779005
6	0.6563027774
7	0.653562918
8	0.6514742428
9	0.6498683794
10	0.6478513638
11	0.6463075777
12	0.6449128303
13	0.6438493576
14	0.6427618004
15	0.6416413651
16	0.6409234815
17	0.6401259347
18	0.6393901076
19	0.6388346486
20	0.6384170118
21	0.6380336301
22	0.6374042826
23	0.6370530505
24	0.6365752569
25	0.6361513339
26	0.6357808134
27	0.6355122756
28	0.635224437
29	0.634943579
30	0.6344396337
31	0.6341537184
32	0.6338798179
33	0.6336262078
34	0.6334238581
35	0.6330890581
36	0.6329110171
37	0.6326214571
38	0.632422642
39	0.6322936594
40	0.6321416375
41	0.6318635934
42	0.6316868621
43	0.6315643782
44	0.6314240253
45	0.6312668516
46	0.631041973
47	0.6309081205
48	0.6307677509
49	0.6306494426
50	0.6305194253
51	0.6303738295
52	0.6302458717
53	0.6301565372
54	0.630082481
55	0.6299037841
56	0.6297994474
57	0.6295568028
58	0.6294384871
59	0.629329256
60	0.6292528108
61	0.6291713887
62	0.6290699286
63	0.6289513851
64	0.6288532683
65	0.6287535059
66	0.6286135685
67	0.6285466637
68	0.6284451027
69	0.6283750583
70	0.6283157592
71	0.6282142899
72	0.6281374054
73	0.6280380682
74	0.6279139663
75	0.6278140732
76	0.6277825009
77	0.6277023579
78	0.6276226602
79	0.6275335034
80	0.6274665687
81	0.6273564254
82	0.6272831642
83	0.6272288491
84	0.627175657
85	0.6271155119
86	0.6270114176
87	0.6269851885
88	0.626917302
89	0.6268071189
90	0.6267040512
91	0.6266477886
92	0.6265953936
93	0.6265344461
94	0.6265050677
95	0.6264424988
96	0.6263454708
97	0.6262349891
98	0.6261743075
99	0.6261220272
