iter	Passed	Remaining
0	145	14439
1	151	7403
2	155	5039
3	162	3907
4	167	3185
5	173	2716
6	179	2381
7	184	2118
8	190	1923
9	195	1761
10	201	1626
11	207	1518
12	212	1421
13	218	1339
14	224	1269
15	229	1205
16	234	1145
17	240	1097
18	246	1052
19	252	1011
20	258	971
21	263	935
22	269	902
23	275	873
24	282	848
25	289	824
26	295	798
27	301	774
28	307	752
29	312	730
30	318	708
31	324	688
32	330	670
33	337	654
34	342	636
35	347	618
36	353	602
37	359	586
38	365	571
39	371	557
40	378	544
41	384	530
42	389	516
43	395	503
44	401	490
45	407	478
46	413	466
47	420	455
48	425	442
49	431	431
50	436	419
51	442	408
52	449	398
53	454	387
54	460	376
55	466	366
56	472	356
57	478	346
58	483	336
59	489	326
60	495	317
61	501	307
62	506	297
63	512	288
64	518	279
65	523	269
66	529	260
67	535	251
68	540	242
69	546	234
70	551	225
71	557	216
72	563	208
73	569	200
74	575	191
75	581	183
76	587	175
77	593	167
78	598	159
79	603	150
80	608	142
81	614	134
82	620	127
83	626	119
84	632	111
85	637	103
86	643	96
87	648	88
88	654	80
89	660	73
90	666	65
91	672	58
92	678	51
93	684	43
94	689	36
95	694	28
96	701	21
97	706	14
98	713	7
99	718	0
